"LeagueNameLong","Player","Position","Club","NationalTeam","Appearance","TotalGoals","TotalAssists","ShotsOnTarget","Pictures"
"English Premier League","Erling Haaland","Forward","Manchester City","Norway",32,35,7,58,"https://www.mancity.com/meta/media/233jlh2j/microsoftteams-image-127.png?width=600"
"English Premier League","Harry Kane","Forward","Tottenham Hotspur","England",36,27,3,53,"https://resources.premierleague.com/premierleague/photos/players/250x250/p78830.png"
"French Ligue 1","Kylian Mbappé","Forward","Paris Saint-Germain","France",31,26,5,70,"https://www.pngmart.com/files/22/Kylian-Mbappe-PNG.png"
"French Ligue 1","Alexandre Lacazette","Forward","Lyon","France",31,24,4,45,"https://b.fssta.com/uploads/application/soccer/headshots/4781.png"
"Italian Serie-A","Victor Osimhen","Forward","Napoli","Nigeria",28,23,4,44,"https://m.footballdatabase.eu/images/photos/players/a_282/282707.jpg"
"Italian Serie-A","Lautaro Martínez","Forward","Internazionale","Argentina",35,20,5,48,"https://intermilan.bynder.com/transform/Horizontal/bdbf14ed-34c5-4faa-90e4-df12e084e3aa/L_Martinez_2x"
"English Premier League","Mohamed Salah","Forward","Liverpool","Egypt",35,19,8,41,"https://resources.premierleague.com/premierleague/photos/players/250x250/p118748.png"
"Spanish La Liga","Robert Lewandowski","Forward","Barcelona","Poland",29,19,6,46,"https://assets.laliga.com/squad/2022/t178/p56764/2048x2225/p56764_t178_2022_1_001_000.png"
"Portuguese Primeira Liga","Goncalo Ramos","Forward","Benfica","Portugal",28,18,2,35,"https://sportsmanheight.com/wp-content/uploads/2022/11/9-3.png"
"English Premier League","Callum Wilson","Forward","Newcastle United","England",28,17,4,30,NA
"Portuguese Primeira Liga","João Mário","Midfielder","Benfica","Portugal",31,17,6,28,"https://www.ligaportugal.pt/media/33315/joaomario.png"
"Spanish La Liga","Karim Benzema","Forward","Real Madrid","France",21,17,3,37,"https://www.realmadrid.com/img/vertical_380px/380x501_benzema_20230215094340.jpg"
"English Premier League","Marcus Rashford","Forward","Manchester United","England",33,16,5,40,"https://resources.premierleague.com/premierleague/photos/players/250x250/p176297.png"
"Portuguese Primeira Liga","Mehdi Taremi","Forward","FC Porto","Iran",30,16,6,35,"https://www.footyrenders.com/render/mehdi-taremi-3.png"
"French Ligue 1","Lionel Messi","Forward","Paris Saint-Germain","Argentina",29,15,15,45,"https://www.footyrenders.com/render/lionel-messi-403.png"
"French Ligue 1","Alexis Sánchez","Forward","Marseille","Chile",31,13,2,25,"https://www.footyrenders.com/render/alexis-sanchez-54.png"
"French Ligue 1","Neymar","Forward","Paris Saint-Germain","Brazil",20,13,11,17,"https://images.psg.media/media/27051/card-22-23_neymar.png?center=0.5,0.5&mode=crop&width=400&height=600&quality=75"
"German Bundesliga","Christopher Nkunku","Forward","RB Leipzig","France",22,13,1,19,"https://i.bundesliga.com/player/dfl-obj-002g3d-dfl-clu-000017-dfl-sea-0001k5.png"
"German Bundesliga","Serge Gnabry","Forward","Bayern Munich","Germany",32,13,4,35,"https://i.bundesliga.com/player/dfl-obj-0027g6-dfl-clu-00000g-dfl-sea-0001k6.png"
"Spanish La Liga","Antoine Griezmann","Forward","Atletico Madrid","France",33,13,12,36,"https://assets.laliga.com/squad/2022/t175/p76650/2048x2048/p76650_t175_2022_1_003_000.png"
"Spanish La Liga","Álvaro Morata","Forward","Atletico Madrid","Spain",33,13,2,29,"https://img-estaticos.atleticodemadrid.com/system/fotos/8240/destacado_600x600/BUSTOS_MORATA.png?1565972794"
"Italian Serie-A","Khvicha Kvaratskhelia","Forward","Napoli","Georgia",30,12,10,28,"https://sortitoutsi.net/uploads/media/UVfGIrDkpA7OzNvII4EvEbH76lP1Py6cz0UxpFEG.png"
"Italian Serie-A","Rafael Leão","Forward","AC Milan","Portugal",32,12,7,26,"https://assets-eu-01.kc-usercontent.com/1293c890-579f-01b7-8480-902cca7de55e/0403d37e-f8ab-4900-a269-b1bf4bafefae/Leao-Large.png"
"Spanish La Liga","Borja Iglesias","Forward","Real Betis","Spain",30,12,3,22,"https://assets.laliga.com/squad/2022/t185/p202044/2048x2225/p202044_t185_2022_1_001_000.png"
"Dutch Eredivisie","Brian Brobbey","Forward","Ajax Amsterdam","Netherlands",29,11,2,24,"https://www.playmakerstats.com/img/jogadores/54/685854_ori__20200717082351_brian_brobbey.png"
"Dutch Eredivisie","Mohammed Kudus","Midfielder","Ajax Amsterdam","Ghana",27,11,2,22,"https://d3et0fncpz2hhr.cloudfront.net/players/2022/_550x776_fit_center-center_80_none/ajax-m-kudus-p7vw4thx5wzo49h6hfabcq5m-62f26209f20ba.png"
"Dutch Eredivisie","Steven Bergwijn","Forward","Ajax Amsterdam","Netherlands",29,11,5,29,"https://d3et0fncpz2hhr.cloudfront.net/players/2022/_550x776_fit_center-center_80_none/ajax-s-bergwijn-6hrp4zuxh40i3tccmk5s0j5xx-62f261f934ebb.png"
"German Bundesliga","Jamal Musiala","Forward","Bayern Munich","Germany",31,11,10,20,"https://i.bundesliga.com/player/dfl-obj-002gcr-dfl-clu-00000g-dfl-sea-0001k6.png"
"Italian Serie-A","Paulo Dybala","Forward","AS Roma","Argentina",24,11,6,17,"https://media.asroma.com/prod/images/square_medium_fill/78711975b458-sito0020dybala-paulo-5646.png"
"German Bundesliga","Eric Maxim Choupo-Moting","Forward","Bayern Munich","Cameroon",18,10,2,15,"https://i.bundesliga.com/player/dfl-obj-0000rp-dfl-clu-00000g-dfl-sea-0001k6.png"
"Dutch Eredivisie","Dusan Tadic","Forward","Ajax Amsterdam","Serbia",31,9,19,14,"https://d3et0fncpz2hhr.cloudfront.net/players/2022/_550x776_fit_center-center_80_none/ajax-d-tadic-6m2pk6odyb3atayt6u8cifahh-62f261fad8d1e.png"
"Dutch Eredivisie","Steven Berghuis","Forward","Ajax Amsterdam","Netherlands",28,9,9,22,"https://d3et0fncpz2hhr.cloudfront.net/players/2022/_550x776_fit_center-center_80_none/ajax-s-berghuis-7joybllup4h9oe6zfhcepjy6t-62f261fdecf05.png"
"German Bundesliga","Donyell Malen","Forward","Borussia Dortmund","Netherlands",24,9,6,27,NA
"German Bundesliga","Moussa Diaby","Forward","Bayer Leverkusen","France",30,9,8,34,"https://i.bundesliga.com/player/dfl-obj-002g02-dfl-clu-00000b-dfl-sea-0001k6.png"
"German Bundesliga","Timo Werner","Forward","RB Leipzig","Germany",25,9,3,23,"https://i.bundesliga.com/player/dfl-obj-00021u-dfl-clu-000017-dfl-sea-0001k6.png"
"Portuguese Primeira Liga","Galeno","Midfielder","FC Porto","Brazil",28,8,2,25,"https://www.dragaoautentico.pt/media/13galeno.png"
"Portuguese Primeira Liga","Petar Musa","Forward","Benfica","Croatia",28,7,2,14,NA
"Portuguese Primeira Liga","Rafa","Midfielder","Benfica","Portugal",26,7,5,22,"https://www.ligaportugal.pt/liga/clube/20222023/ligaportugalbwin/278/jogador/67905/foto"
